United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1980,1,40.5,32.3,48.5,29.9,50.9,28.7,52.1,1,2.7,1.6,3.1,1.6,3.9,1.2,4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,1.5,3.0,1.5,3.8,1.1,4.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45.4,35.4,54.6,33.0,58.6,31.0,61.3
US,1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.8,2.2,1.4,2.5,1.1,2.9,1,1.4,1.1,1.4,0.7,1.8,0.7,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.5,2.9,3.6,2.1,4.3,1.8,5.0
US,1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.2,2.6,3.3,2.0,3.3,2.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,1.7,2.3,1.3,2.7,0.0,3.3,3,5.4,4.3,5.6,3.3,6.0,2.0,7.3
US,1983,1,9.5,6.8,10.9,6.1,12.2,5.5,12.9,3,10.9,9.6,13.5,8.9,14.4,8.3,15.1,1,6.5,5.2,7.7,5.2,8.1,4.8,8.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.4,6.6,9.4,6.0,9.7,5.7,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,36.3,28.2,41.5,26.2,44.4,24.3,46.1
US,1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.3,3.0,3.6,2.4,4.0,2.4,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.3,3.0,3.6,2.4,4.0,2.4,4.6
US,1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,2.6,4.6,2.3,4.9,2.3,5.5,1,3.6,3.0,3.9,2.7,4.2,2.4,4.5,1,1.8,1.5,1.8,1.2,2.0,1.2,2.3,3,10.6,6.9,10.4,6.3,11.3,5.7,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,2.7,2.7,2.4,3.0,2.4,3.0,7,22.5,16.7,23.4,14.9,25.4,14.0,27.2
US,1986,1,5.2,4.3,6.0,4.0,6.6,3.7,6.9,1,1.1,0.9,1.4,0.9,1.7,0.6,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.2,1.4,1.2,1.7,1.2,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.8,6.4,8.8,6.1,10.0,5.5,10.6
US,1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,1988,1,54.4,41.3,66.1,38.4,69.1,37.0,70.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54.4,41.3,66.1,38.4,69.1,37.0,70.7
US,1989,1,7.8,6.8,9.1,6.5,9.4,6.2,9.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.2,3.9,6.5,3.9,6.5,3.6,6.8,1,1.4,1.3,1.5,1.3,1.5,1.0,1.8,2,24.2,21.7,25.5,21.0,26.4,20.4,26.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.5,2.0,1.5,2.0,1.5,2.2,6,40.3,35.2,44.6,34.2,45.8,32.7,47.3
